Key Items,Instructions,Definitions
Notice to Proceed,"Retrieve Notice to Proceed from the text.
Definitions: Notice to Proceed - Formal notice given by the owner to the contractor to begin or continue work according to the contract terms..
",Formal notice given by the owner to the contractor to begin or continue work according to the contract terms.
Site Preparation Completion,"Retrieve Site Preparation Completion from the text.
Definitions: Site Preparation Completion - The date by which the site preparation is expected to be completed..
",The date by which the site preparation is expected to be completed.
Delivery of Racking to Site,"Retrieve Delivery of Racking to Site from the text.
Definitions: Delivery of Racking to Site - Scheduled date for the delivery of racking systems to the project site..
",Scheduled date for the delivery of racking systems to the project site.
Delivery of Modules to Site,"Retrieve Delivery of Modules to Site from the text.
Definitions: Delivery of Modules to Site - Scheduled date for the delivery of solar modules to the project site..
",Scheduled date for the delivery of solar modules to the project site.
Delivery of Inverters & Energy Storage Unit to Site,"Retrieve Delivery of Inverters & Energy Storage Unit to Site from the text.
Definitions: Delivery of Inverters & Energy Storage Unit to Site - Scheduled date for the delivery of inverters and any associated energy storage units to the project site..
",Scheduled date for the delivery of inverters and any associated energy storage units to the project site.
Racking Installation,"Retrieve Racking Installation from the text.
Definitions: Racking Installation - The process and timeline for the installation of racking systems that will hold the solar panels..
",The process and timeline for the installation of racking systems that will hold the solar panels.
Module Installation,"Retrieve Module Installation from the text.
Definitions: Module Installation - The process and timeline for the installation of solar modules onto the racking systems..
",The process and timeline for the installation of solar modules onto the racking systems.
Inverters & Energy Storage Unit Installation,"Retrieve Inverters & Energy Storage Unit Installation from the text.
Definitions: Inverters & Energy Storage Unit Installation - The process and timeline for the installation of inverters and any energy storage units..
",The process and timeline for the installation of inverters and any energy storage units.
Mechanical Completion,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion from the text in this format:
<example>
Text:
```
2.2.4(a) - The date of achievement of Mechanical Completion (the “Mechanical Completion Date”) shall be the date on which the last iteration of the Mechanical Completion Certificate was submitted by C...
```
Data retrieved:
November 16, 2020</example>


<example>
Text:
```
December 23, 2019...
```
Data retrieved:
December 23, 2019</example>


<example>
Text:
```
121 days after NTP...
```
Data retrieved:
121 days after NTP</example>

",
Mechanical Completion,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Mechanical Completion from the text in this format:
<example>
Text:
```
2.2.4(a) - The date of achievement of Mechanical Completion (the “Mechanical Completion Date”) shall be the date on which the last iteration of the Mechanical Completion Certificate was submitted by C...
```
Data retrieved:
November 16, 2020</example>


<example>
Text:
```
December 23, 2019...
```
Data retrieved:
December 23, 2019</example>


<example>
Text:
```
121 days after NTP...
```
Data retrieved:
121 days after NTP</example>

",Confirmation that all mechanical components of the solar project have been installed and are ready for testing.
Witness Test,"Retrieve Witness Test from the text.
Definitions: Witness Test - Testing conducted in the presence of both parties (or their representatives) to verify that the system meets the contractual and operational specifications..
",Testing conducted in the presence of both parties (or their representatives) to verify that the system meets the contractual and operational specifications.
PTO,"Retrieve PTO from the text.
Definitions: PTO - Permission to Operate - official approval from the relevant authorities allowing the solar facility to be connected to the grid and start operations..
",Permission to Operate - official approval from the relevant authorities allowing the solar facility to be connected to the grid and start operations.
PV Substantial Completion,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve PV Substantial Completion from the text in this format:
<example>
Text:
```
February 28, 2019...
```
Data retrieved:
February 28, 2019</example>


<example>
Text:
```
April 20, 2020...
```
Data retrieved:
April 20, 2020</example>


<example>
Text:
```
2.2.4(b) - The date of achievement of Substantial Completion (the “Substantial Completion Date”) shall be the date on which the last iteration of the Substantial Completion Certificate was submitted b...
```
Data retrieved:
December 7, 2020</example>

",The point at which the photovoltaic components of the project are considered substantially complete.
ESS Substantial Completion,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve ESS Substantial Completion from the text in this format:
<example>
Text:
```
166 days after NTP...
```
Data retrieved:
166 days after NTP</example>


<example>
Text:
```
April 20, 2020...
```
Data retrieved:
April 20, 2020</example>


<example>
Text:
```
11/20/2020...
```
Data retrieved:
11/20/2020</example>

",The point at which the energy storage system (if applicable) is considered substantially complete.
Final Completion,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion from the text in this format:
<example>
Text:
```
May 11, 2021...
```
Data retrieved:
May 11, 2021</example>


<example>
Text:
```
12/31/2020...
```
Data retrieved:
12/31/2020</example>


<example>
Text:
```
2.2.4(d) - The date of achievement of Final Completion (the “Final Completion Date”) shall be the date on which the last iteration of the Final Completion Certificate was submitted by Contractor to Ow...
```
Data retrieved:
December 31, 2020.</example>

",
Final Completion,"You have a task for due diligence company, working with solar projects.
As a due diligence manager you will need to build a project preview for th Solar Project.
Preview contains Legal Terms and Short Values.
Legal Terms are the terms that are used in the contract. Direct citations from the contract.
And your task is to extract Short Values from those Leral Terms, so that the preview can be built. And it will be easy for other due diligence managers understand main points of the Legal Terms by looking at the Short Values.

I want you to putput only the Short Values for the Legal Terms. Avoid any unnecessary comments or explanations.
You will be provided with couple of examples for each Legal Term. You will need to extract the Short Value from the Legal Terms in the same format as in the examples.

Then you will need to provide the Short Value for the Legal Terms for tha actual case.
        
        
Retrieve Final Completion from the text in this format:
<example>
Text:
```
May 11, 2021...
```
Data retrieved:
May 11, 2021</example>


<example>
Text:
```
12/31/2020...
```
Data retrieved:
12/31/2020</example>


<example>
Text:
```
2.2.4(d) - The date of achievement of Final Completion (the “Final Completion Date”) shall be the date on which the last iteration of the Final Completion Certificate was submitted by Contractor to Ow...
```
Data retrieved:
December 31, 2020.</example>

","The date or condition under which the project is considered fully complete, with all contractual obligations fulfilled."
